Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
67,67,1,0,"Pothole:conf=0.8873,bbox=(1320,365,1912,511),diameter=369.0px",None
68,68,1,0,"Pothole:conf=0.8728,bbox=(1349,385,1912,552),diameter=365.0px",None
69,69,1,0,"Pothole:conf=0.8983,bbox=(1386,401,1914,591),diameter=359.0px",None
70,70,1,0,"Pothole:conf=0.8766,bbox=(1437,430,1912,633),diameter=339.0px",None
71,71,1,0,"Pothole:conf=0.8987,bbox=(1507,460,1912,681),diameter=313.0px",None
72,72,1,0,"Pothole:conf=0.8727,bbox=(1548,478,1912,716),diameter=301.0px",None
73,73,1,0,"Pothole:conf=0.9247,bbox=(1651,517,1913,763),diameter=254.0px",None
74,74,0,0,None,None
75,75,0,0,None,None
76,76,0,0,None,None
77,77,0,0,None,None
78,78,0,0,None,None
79,79,0,0,None,None
80,80,0,0,None,None
81,81,1,0,"Pothole:conf=0.8109,bbox=(369,311,575,388),diameter=141.5px",None
82,82,0,0,None,None
83,83,0,0,None,None
84,84,0,0,None,None
85,85,1,0,"Pothole:conf=0.8643,bbox=(1153,325,1692,436),diameter=325.0px",None
86,86,1,0,"Pothole:conf=0.9059,bbox=(1167,336,1739,467),diameter=351.5px",None
87,87,2,0,"Pothole:conf=0.8927,bbox=(505,355,736,412),diameter=144.0px | Pothole:conf=0.8458,bbox=(1175,349,1800,484),diameter=380.0px",None
88,88,3,0,"Pothole:conf=0.9226,bbox=(1182,362,1839,508),diameter=401.5px | Pothole:conf=0.8301,bbox=(505,372,746,423),diameter=146.0px | Pothole:conf=0.8104,bbox=(71,465,471,584),diameter=259.5px",None
89,89,3,0,"Pothole:conf=0.8349,bbox=(462,401,726,464),diameter=163.5px | Pothole:conf=0.8179,bbox=(1210,380,1913,559),diameter=441.0px | Pothole:conf=0.8039,bbox=(2,519,422,654),diameter=277.5px",None
90,90,3,0,"Pothole:conf=0.9278,bbox=(1232,407,1914,601),diameter=438.0px | Pothole:conf=0.8886,bbox=(0,595,365,735),diameter=252.5px | Pothole:conf=0.8865,bbox=(447,441,716,518),diameter=173.0px",None
91,91,2,0,"Pothole:conf=0.9029,bbox=(1284,423,1914,640),diameter=423.5px | Pothole:conf=0.8707,bbox=(0,659,312,825),diameter=239.0px",None
92,92,2,0,"Pothole:conf=0.8598,bbox=(1322,456,1914,665),diameter=400.5px | Pothole:conf=0.7862,bbox=(367,518,684,614),diameter=206.5px",None
93,93,2,0,"Pothole:conf=0.927,bbox=(1365,471,1914,684),diameter=381.0px | Pothole:conf=0.8516,bbox=(352,547,682,651),diameter=217.0px",None
94,94,2,0,"Pothole:conf=0.8682,bbox=(294,608,641,724),diameter=231.5px | Pothole:conf=0.8578,bbox=(1420,501,1912,711),diameter=351.0px",None
95,95,2,0,"Pothole:conf=0.7984,bbox=(1480,533,1914,770),diameter=335.5px | Pothole:conf=0.7788,bbox=(186,663,621,811),diameter=291.5px",None
